,acquisition_function,kappa,xi,median_best_solution,mean_loss
137,ei,4,0.2,16.5,-9
138,ei,4,0.30000000000000004,14.0,-10
139,ei,4,0.4,11.0,-10
140,ei,4,0.5,14.0,-8
141,ei,4,0.6000000000000001,12.5,-5
142,ei,4,0.7000000000000001,11.5,-6
143,ei,4,0.8,13.0,-7
144,ei,4,0.9,11.0,-9
145,ei,5,0.0,14.0,-10
146,ei,5,0.1,15.5,-9
147,ei,5,0.2,16.0,-7
148,ei,5,0.30000000000000004,16.5,-9
149,ei,5,0.4,13.5,-6
150,ei,5,0.5,14.5,-7
151,ei,5,0.6000000000000001,12.5,-8
152,ei,5,0.7000000000000001,15.5,-10
153,ei,5,0.8,12.0,-6
154,ei,6,0.0,10.0,-9
155,ei,6,0.1,15.5,-10
156,ei,6,0.2,11.5,-7
157,ei,6,0.30000000000000004,13.0,-10
158,ei,6,0.4,17.0,-7
159,ei,6,0.5,13.0,-8
160,ei,6,0.6000000000000001,15.5,-9
161,ei,6,0.7000000000000001,13.5,-9
162,ei,6,0.8,13.5,-10
163,ei,6,0.9,14.0,-8
164,ei,7,0.0,15.0,-10
165,ei,7,0.1,12.5,-10
166,ei,7,0.2,13.0,-12
167,ei,7,0.30000000000000004,18.0,-11
168,ei,7,0.4,17.5,-11
169,ei,7,0.5,11.5,-6
170,ei,7,0.6000000000000001,16.0,-6
171,ei,7,0.7000000000000001,13.5,-7
172,ei,7,0.8,13.0,-7
173,ei,7,0.9,16.0,-8
174,ei,8,0.0,13.0,-10
175,ei,8,0.1,14.5,-11
176,ei,8,0.2,14.0,-7
177,ei,8,0.30000000000000004,15.5,-10
178,ei,8,0.4,14.0,-9
179,ei,8,0.6000000000000001,12.5,-6
180,ei,8,0.7000000000000001,13.0,-6
181,ei,8,0.8,15.0,-9
182,ei,8,0.9,15.0,-6
183,ei,9,0.0,16.5,-11
184,ei,9,0.1,13.0,-11
185,ei,9,0.2,12.0,-10
186,ei,9,0.30000000000000004,14.0,-8
187,ei,9,0.4,17.5,-9
188,ei,9,0.5,13.0,-10
189,ei,9,0.6000000000000001,12.0,-6
190,ei,9,0.7000000000000001,17.0,-9
191,ei,9,0.8,16.5,-9
192,ei,9,0.9,16.0,-7
193,poi,0,0.0,9.5,-19
194,poi,0,0.1,14.5,-12
195,poi,0,0.2,14.5,-15
196,poi,0,0.30000000000000004,13.0,-13
197,poi,0,0.4,15.0,-13
198,poi,0,0.5,12.0,-15
199,poi,0,0.6000000000000001,15.5,-11
200,poi,0,0.7000000000000001,14.0,-4
201,poi,0,0.8,15.0,-7
202,poi,0,0.9,12.5,-7
203,poi,1,0.0,6.5,-15
204,poi,1,0.1,14.0,-16
205,poi,1,0.2,9.5,-14
206,poi,1,0.30000000000000004,12.0,-12
207,poi,1,0.4,11.5,-12
208,poi,1,0.5,13.5,-13
209,poi,1,0.6000000000000001,16.0,-10
210,poi,1,0.7000000000000001,12.0,-7
211,poi,1,0.8,14.5,-8
212,poi,1,0.9,15.0,-8
213,poi,2,0.0,10.0,-14
214,poi,2,0.1,13.5,-20
215,poi,2,0.2,8.5,-14
216,poi,2,0.30000000000000004,10.5,-14
217,poi,2,0.4,14.5,-9
218,poi,2,0.6000000000000001,15.0,-10
219,poi,2,0.7000000000000001,12.5,-8
220,poi,2,0.8,15.0,-14
221,poi,2,0.9,13.5,-8
222,poi,3,0.0,12.0,-17
223,poi,3,0.1,12.0,-15
224,poi,3,0.2,12.0,-14
225,poi,3,0.30000000000000004,8.5,-12
226,poi,3,0.4,12.5,-15
227,poi,3,0.5,12.5,-14
228,poi,3,0.6000000000000001,11.5,-11
229,poi,3,0.7000000000000001,10.0,-7
230,poi,3,0.8,13.0,-12
231,poi,3,0.9,14.0,-7
232,poi,4,0.0,11.0,-19
233,poi,4,0.1,11.0,-18
234,poi,4,0.2,10.5,-8
235,poi,4,0.30000000000000004,13.5,-13
236,poi,4,0.4,11.0,-7
237,poi,4,0.5,14.0,-11
238,poi,4,0.6000000000000001,11.0,-13
239,poi,4,0.7000000000000001,15.0,-8
240,poi,4,0.8,14.0,-15
241,poi,4,0.9,15.5,-8
242,poi,5,0.0,11.0,-17
243,poi,5,0.1,15.0,-15
244,poi,5,0.2,10.0,-8
245,poi,5,0.30000000000000004,15.0,-9
246,poi,5,0.4,10.5,-7
247,poi,5,0.5,10.5,-8
248,poi,5,0.6000000000000001,12.5,-18
249,poi,5,0.7000000000000001,11.5,-15
250,poi,5,0.8,14.5,-13
251,poi,5,0.9,14.0,-10
252,poi,6,0.0,12.5,-17
253,poi,6,0.1,12.5,-17
254,poi,6,0.2,13.0,-13
255,poi,6,0.30000000000000004,16.5,-10
256,poi,6,0.4,17.0,-16
257,poi,6,0.5,12.5,-13
258,poi,6,0.6000000000000001,13.0,-9
259,poi,6,0.7000000000000001,15.0,-8
260,poi,6,0.8,12.5,-9
261,poi,6,0.9,18.0,-7
262,poi,7,0.0,11.5,-15
263,poi,7,0.1,16.0,-14
264,poi,7,0.2,14.0,-13
265,poi,7,0.30000000000000004,11.5,-11
266,poi,7,0.4,12.5,-16
267,poi,7,0.5,14.0,-11
268,poi,7,0.6000000000000001,15.0,-12
269,poi,7,0.7000000000000001,15.5,-8
270,poi,7,0.8,13.0,-11
271,poi,7,0.9,17.5,-9
272,poi,8,0.0,13.5,-16
273,poi,8,0.1,14.5,-13
274,poi,8,0.2,12.5,-9
275,poi,8,0.30000000000000004,14.5,-11
276,poi,8,0.4,13.0,-13
277,poi,8,0.5,11.5,-15
278,poi,8,0.6000000000000001,13.0,-10
279,poi,8,0.7000000000000001,15.0,-9
280,poi,8,0.8,15.5,-11
281,poi,8,0.9,13.0,-9
282,poi,9,0.0,10.5,-12
283,poi,9,0.1,11.5,-12
284,poi,9,0.2,18.5,-9
285,poi,9,0.30000000000000004,13.5,-22
286,poi,9,0.4,14.0,-12
287,poi,9,0.5,9.0,-6
288,poi,9,0.6000000000000001,10.5,-11
289,poi,9,0.7000000000000001,14.5,-11
290,poi,9,0.8,15.0,-7
291,poi,9,0.9,13.5,-8
