,acquisition_function,kappa,xi,median_best_solution,mean_loss
123,ei,2,0.7000000000000001,13.0,-1.01
124,ei,2,0.8,12.5,-0.86
125,ei,2,0.9,14.5,-1.07
126,ei,3,0.0,16.0,-1.41
127,ei,3,0.1,12.0,-1.65
128,ei,3,0.2,13.0,-1.19
129,ei,3,0.30000000000000004,11.0,-1.09
130,ei,3,0.4,15.0,-0.89
131,ei,3,0.5,12.0,-1.25
132,ei,3,0.6000000000000001,14.5,-0.85
133,ei,3,0.7000000000000001,14.0,-1.9100000000000001
134,ei,3,0.8,13.0,-1.24
135,ei,3,0.9,13.5,-1.3
136,ei,4,0.0,9.0,-1.3800000000000001
137,ei,4,0.1,15.0,-1.28
138,ei,4,0.2,14.5,-0.75
139,ei,4,0.30000000000000004,14.0,-1.03
140,ei,4,0.4,15.0,-0.68
141,ei,4,0.5,13.0,-1.13
142,ei,4,0.6000000000000001,15.5,-1.71
143,ei,4,0.7000000000000001,13.0,-1.04
144,ei,4,0.8,13.5,-1.07
145,ei,4,0.9,17.0,-1.28
146,ei,5,0.0,16.0,-1.28
147,ei,5,0.1,11.0,-1.16
148,ei,5,0.2,11.5,-1.27
149,ei,5,0.30000000000000004,15.0,-1.24
150,ei,5,0.4,13.5,-0.88
151,ei,5,0.5,16.0,-1.05
152,ei,5,0.6000000000000001,15.0,-1.19
153,ei,5,0.7000000000000001,15.0,-0.94
154,ei,5,0.8,10.0,-0.85
155,ei,5,0.9,12.5,-0.87
156,ei,6,0.0,14.0,-1.1099999999999999
157,ei,6,0.1,15.5,-1.26
158,ei,6,0.2,12.5,-1.06
159,ei,6,0.30000000000000004,11.5,-1.8
160,ei,6,0.4,15.5,-1.55
161,ei,6,0.5,13.0,-1.19
162,ei,6,0.6000000000000001,14.0,-1.25
163,ei,6,0.7000000000000001,17.5,-1.02
164,ei,6,0.8,13.0,-0.8
165,ei,6,0.9,13.0,-1.04
166,ei,7,0.0,16.0,-1.18
167,ei,7,0.1,12.5,-1.42
168,ei,7,0.2,13.5,-1.46
169,ei,7,0.30000000000000004,10.0,-0.87
170,ei,7,0.4,14.5,-1.11
171,ei,7,0.5,11.0,-1.7
172,ei,7,0.6000000000000001,12.0,-1.43
173,ei,7,0.7000000000000001,14.0,-0.61
174,ei,7,0.8,11.5,-1.38
175,ei,7,0.9,11.0,-1.09
176,ei,8,0.0,14.5,-1.35
177,ei,8,0.1,15.5,-1.3
178,ei,8,0.2,13.5,-1.16
179,ei,8,0.30000000000000004,11.5,-1.42
180,ei,8,0.4,10.5,-0.97
181,ei,8,0.5,14.0,-1.35
182,ei,8,0.6000000000000001,13.0,-0.89
183,ei,8,0.7000000000000001,13.5,-1.5
184,ei,8,0.8,16.5,-1.08
185,ei,8,0.9,15.0,-1.1300000000000001
186,ei,9,0.0,11.0,-1.29
187,ei,9,0.1,15.0,-1.43
188,ei,9,0.2,11.5,-1.04
189,ei,9,0.30000000000000004,14.0,-1.31
190,ei,9,0.4,11.0,-1.41
191,ei,9,0.5,14.0,-1.05
192,ei,9,0.6000000000000001,14.5,-1.3
193,ei,9,0.7000000000000001,13.0,-0.9
194,ei,9,0.8,17.0,-1.27
195,ei,9,0.9,17.0,-0.98
196,poi,0,0.0,11.0,-2.71
197,poi,0,0.1,7.0,-2.67
198,poi,0,0.2,13.0,-3.4
199,poi,0,0.30000000000000004,9.5,-2.19
200,poi,0,0.4,15.5,-1.6
201,poi,0,0.5,10.0,-1.75
202,poi,0,0.6000000000000001,11.0,-1.58
203,poi,0,0.7000000000000001,11.5,-2.07
204,poi,0,0.8,16.0,-1.54
205,poi,0,0.9,14.0,-1.18
206,poi,1,0.1,15.5,-2.25
207,poi,1,0.2,12.0,-1.83
208,poi,1,0.30000000000000004,12.0,-1.85
209,poi,1,0.4,12.5,-1.27
210,poi,1,0.5,10.5,-1.56
211,poi,1,0.6000000000000001,10.0,-1.55
212,poi,1,0.7000000000000001,8.5,-1.43
213,poi,1,0.8,14.5,-1.28
214,poi,1,0.9,9.5,-1.48
215,poi,2,0.0,13.0,-2.7600000000000002
216,poi,2,0.1,5.5,-2.39
217,poi,2,0.2,10.5,-1.68
218,poi,2,0.30000000000000004,9.0,-1.96
219,poi,2,0.4,11.5,-1.48
220,poi,2,0.5,14.0,-1.49
221,poi,2,0.6000000000000001,7.5,-2.02
222,poi,2,0.7000000000000001,11.0,-2.3
223,poi,2,0.8,11.5,-1.5
224,poi,2,0.9,12.5,-1.42
225,poi,3,0.0,11.0,-2.76
226,poi,3,0.1,6.0,-2.54
227,poi,3,0.2,14.0,-2.23
228,poi,3,0.30000000000000004,12.5,-1.89
229,poi,3,0.4,9.5,-1.56
230,poi,3,0.5,12.0,-1.66
231,poi,3,0.6000000000000001,15.0,-1.46
232,poi,3,0.7000000000000001,12.0,-1.83
233,poi,3,0.8,10.0,-1.53
234,poi,3,0.9,8.5,-1.53
235,poi,4,0.0,16.5,-2.79
236,poi,4,0.1,11.0,-1.95
237,poi,4,0.30000000000000004,6.5,-1.92
238,poi,4,0.4,13.0,-2.1
239,poi,4,0.5,11.0,-1.41
240,poi,4,0.6000000000000001,11.0,-1.45
241,poi,4,0.7000000000000001,11.5,-1.7
242,poi,4,0.8,11.5,-0.96
243,poi,4,0.9,11.5,-1.42
244,poi,5,0.0,11.5,-2.81
245,poi,5,0.1,16.5,-2.04
246,poi,5,0.2,10.5,-1.82
247,poi,5,0.30000000000000004,14.5,-3.35
248,poi,5,0.4,11.5,-2.05
249,poi,5,0.5,11.0,-1.81
250,poi,5,0.6000000000000001,12.5,-1.96
251,poi,5,0.7000000000000001,12.0,-1.01
252,poi,5,0.8,17.0,-1.41
253,poi,5,0.9,13.5,-1.19
254,poi,6,0.0,12.0,-1.94
255,poi,6,0.1,13.5,-2.23
256,poi,6,0.2,14.5,-2.66
257,poi,6,0.30000000000000004,7.5,-2.67
258,poi,6,0.4,11.0,-1.6400000000000001
259,poi,6,0.5,13.0,-1.58
260,poi,6,0.6000000000000001,14.0,-1.42
261,poi,6,0.7000000000000001,10.5,-1.91
262,poi,6,0.8,10.5,-1.53
263,poi,6,0.9,16.0,-1.28
264,poi,7,0.0,8.0,-3.16
265,poi,7,0.1,12.0,-2.84
266,poi,7,0.2,7.0,-1.43
267,poi,7,0.30000000000000004,11.0,-2.12
268,poi,7,0.4,12.5,-1.4
269,poi,7,0.5,13.0,-1.02
270,poi,7,0.6000000000000001,8.0,-1.61
